Car Number,Car,Class,Driver,Fastest Lap,Gap,Laps,Position,Team
117,296 Challenge,CS,Enzo Cheng (AUS),4 1:29 6650,,6,1,Ferrari Sydney
7,296 Challenge,TP,Jim Pollicina (AUS),11 1:30 3330  0:00 ,68,12,2,Ferrari Sydney
1,296 Challenge,TP,Mark Hudders (AUS),4 1:30 3840  0:00 ,19,11,3,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),13 1:31 2520  0:01 ,87,14,4,Ferrari Gold Coast
170,296 Challenge,CS,David Frish (AUS),7 1:31 9250  0:02 ,60,10,5,Ferrari Sydney
105,296 Challenge,CS,Masahiro Taguchi (JPN),8 1:32 3880  0:02 ,23,10,6,Ferrari Brisbane
277,488 Challenge EVO,TP4,Jarrod Ferrari (AUS),12 1:33 7950  0:04 ,30,13,7,Barbagallo Ferrari
212,488 Challenge EVO,TP4,Misho Stephan (AUS),3 1:33 8800  0:04 ,15,8,8,Ferrari Sydney
275,488 Challenge EVO,TP4,Baby Kei (JPN),3 1:35 9440  0:06 ,79,5,9,Cornes Osaka
223,488 Challenge EVO,TP4,Aemel Nordin (AUS),6 1:36 2600  0:06 ,95,11,10,Ferrari Adelaide
111,296 Challenge,CS,Tony Baildon (AUS),13 1:36 6210  0:06 ,56,15,11,Ferrari Brisbane
