Driver Number,Driver Name,Lap Number,Total Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,Mark Hudders,1,PIT,0:55.0830,1:02.2550,0:57.1620
1,Mark Hudders,2,6:08.5960,4:41.8150,0:51.0940,0:35.6870
1,Mark Hudders,3,1:57.5570,0:37.1900,0:50.6500,0:29.7170
1,Mark Hudders,4,1:51.3460,0:30.1900,0:53.8260,0:27.3300
1,Mark Hudders,5,1:36.5480,0:29.3510,0:42.0130,0:25.1840
1,Mark Hudders,6,1:35.9740,0:28.7460,0:41.6870,0:25.5410
1,Mark Hudders,7,1:45.9270,0:31.7020,0:47.9760,0:26.2490
1,Mark Hudders,8,1:33.2590,0:27.4610,0:40.4820,0:25.3160
1,Mark Hudders,9,1:37.8620,0:29.0820,0:42.9360,0:25.8440
1,Mark Hudders,10,1:34.8680,0:28.1200,0:40.7710,0:25.9770
1,Mark Hudders,11,1:33.4230,0:28.0550,0:40.4890,0:24.8790
1,Mark Hudders,12,PIT,0:29.0600,0:48.9070,0:55.6410
1,Mark Hudders,13,5:06.8520,3:52.2930,0:47.1580,0:27.4010
1,Mark Hudders,14,1:32.3960,0:27.3410,0:39.9690,0:25.0860
1,Mark Hudders,15,1:32.2790,0:27.2630,0:40.3400,0:24.6760
1,Mark Hudders,16,1:32.3980,0:27.4270,0:40.2560,0:24.7150
1,Mark Hudders,17,1:32.6140,0:27.1130,0:40.0920,0:25.4090
1,Mark Hudders,18,1:35.1260,0:27.5270,0:40.8880,0:26.7110
1,Mark Hudders,19,PIT,0:29.3420,0:43.4470,0:56.2670
111,Tony Baildon,1,1:57.6010,0:38.7140,0:50.1700,0:28.7170
111,Tony Baildon,2,1:45.5200,0:31.7200,0:46.4800,0:27.3200
111,Tony Baildon,3,1:42.5970,0:30.5570,0:45.0620,0:26.9780
111,Tony Baildon,4,1:41.9170,0:30.1840,0:45.0260,0:26.7070
111,Tony Baildon,5,1:42.6700,0:30.1390,0:45.4610,0:27.0700
111,Tony Baildon,6,PIT,0:30.9390,0:46.3320,0:47.0440
111,Tony Baildon,7,4:51.8710,3:38.1720,0:46.5200,0:27.1790
111,Tony Baildon,8,1:40.8130,0:29.8490,0:44.3690,0:26.5950
111,Tony Baildon,9,1:40.2840,0:29.8430,0:44.1070,0:26.3340
111,Tony Baildon,10,1:47.7830,0:32.0400,0:48.0640,0:27.6790
111,Tony Baildon,11,1:44.1000,0:32.5210,0:45.0160,0:26.5630
111,Tony Baildon,12,1:40.5760,0:29.8420,0:44.0660,0:26.6680
111,Tony Baildon,13,1:48.3850,0:31.8920,0:48.8910,0:27.6020
111,Tony Baildon,14,1:42.3390,0:30.1780,0:44.5360,0:27.6250
111,Tony Baildon,15,1:42.6460,0:31.0050,0:44.7870,0:26.8540
111,Tony Baildon,16,1:45.6020,0:32.2490,0:46.1320,0:27.2210
111,Tony Baildon,17,1:40.4130,0:29.9060,0:43.9930,0:26.5140
117,Enzo Cheng,1,7:47.5470,6:19.3550,0:56.1650,0:32.0270
117,Enzo Cheng,2,1:53.7310,0:33.8370,0:49.1240,0:30.7700
117,Enzo Cheng,3,1:40.4320,0:30.7640,0:43.3570,0:26.3110
117,Enzo Cheng,4,1:36.3150,0:29.5360,0:41.7440,0:25.0350
117,Enzo Cheng,5,1:32.7210,0:27.5740,0:40.3220,0:24.8250
117,Enzo Cheng,6,1:32.1170,0:27.5030,0:39.7990,0:24.8150
117,Enzo Cheng,7,1:31.5550,0:27.1200,0:39.8410,0:24.5940
117,Enzo Cheng,8,1:31.5460,0:27.0310,0:39.8240,0:24.6910
117,Enzo Cheng,9,PIT,0:30.9610,0:43.4450,0:41.3700
127,David Trewern,1,8:03.6600,6:38.8990,0:53.7940,0:30.9670
127,David Trewern,2,1:53.9060,0:33.9400,0:49.5450,0:30.4210
127,David Trewern,3,1:41.3630,0:30.6810,0:43.5780,0:27.1040
127,David Trewern,4,1:35.7810,0:28.4120,0:42.0340,0:25.3350
127,David Trewern,5,1:34.1180,0:27.9690,0:40.9650,0:25.1840
127,David Trewern,6,1:34.6770,0:28.1240,0:41.3300,0:25.2230
127,David Trewern,7,1:34.1020,0:28.0350,0:40.9900,0:25.0770
127,David Trewern,8,1:33.5560,0:27.8330,0:40.8920,0:24.8310
127,David Trewern,9,1:33.5200,0:27.7130,0:40.7690,0:25.0380
127,David Trewern,10,PIT,0:32.8250,0:46.6010,0:50.4050
127,David Trewern,11,4:51.6960,3:42.2330,0:43.7450,0:25.7180
127,David Trewern,12,1:33.9400,0:27.8710,0:40.8890,0:25.1800
127,David Trewern,13,1:38.5330,0:29.7460,0:43.4620,0:25.3250
127,David Trewern,14,1:32.3650,0:27.6080,0:39.9930,0:24.7640
127,David Trewern,15,1:33.0510,0:27.9300,0:40.2830,0:24.8380
127,David Trewern,16,1:32.5340,0:27.5070,0:40.2630,0:24.7640
127,David Trewern,17,1:32.5470,0:27.4820,0:40.3500,0:24.7150
127,David Trewern,18,PIT,0:33.2560,0:48.3320,0:50.6600
170,David Frish,1,7:44.5630,6:13.4560,0:55.1220,0:35.9850
170,David Frish,2,1:56.2950,0:39.7410,0:48.4580,0:28.0960
170,David Frish,3,1:48.1620,0:33.1520,0:47.5090,0:27.5010
170,David Frish,4,1:43.8940,0:29.3390,0:47.8470,0:26.7080
170,David Frish,5,1:36.7840,0:29.1740,0:41.8280,0:25.7820
170,David Frish,6,1:35.9650,0:29.1070,0:41.4680,0:25.3900
170,David Frish,7,1:34.3520,0:27.7110,0:41.0650,0:25.5760
170,David Frish,8,1:34.1080,0:28.0190,0:40.7040,0:25.3850
170,David Frish,9,PIT,0:27.9740,0:41.1190,0:50.7390
170,David Frish,10,5:04.3720,3:55.0200,0:43.3200,0:26.0320
170,David Frish,11,1:32.7110,0:27.5510,0:40.1990,0:24.9610
170,David Frish,12,PIT,0:32.0860,0:49.6580,0:52.6500
212,Misho Stephan,1,1:50.1590,0:35.8610,0:47.3800,0:26.9180
212,Misho Stephan,2,1:40.4470,0:29.6840,0:44.0930,0:26.6700
212,Misho Stephan,3,1:37.2870,0:28.9820,0:42.4570,0:25.8480
212,Misho Stephan,4,1:36.9950,0:28.6750,0:42.4930,0:25.8270
212,Misho Stephan,5,1:37.7170,0:28.4980,0:42.9800,0:26.2390
212,Misho Stephan,6,1:36.6610,0:28.5570,0:42.3250,0:25.7790
212,Misho Stephan,7,PIT,0:29.5750,0:43.8610,0:42.9620
223,Aemel Nordin,1,7:44.9270,6:19.5750,0:53.6610,0:31.6910
223,Aemel Nordin,2,1:52.8820,0:33.0530,0:48.6400,0:31.1890
223,Aemel Nordin,3,1:40.3810,0:29.6370,0:43.2740,0:27.4700
223,Aemel Nordin,4,1:37.9300,0:29.1240,0:42.5790,0:26.2270
223,Aemel Nordin,5,1:38.6790,0:29.2610,0:42.6370,0:26.7810
223,Aemel Nordin,6,1:39.9260,0:30.6520,0:42.7650,0:26.5090
223,Aemel Nordin,7,1:39.4150,0:29.8810,0:42.9580,0:26.5760
223,Aemel Nordin,8,1:42.1380,0:31.5960,0:43.8340,0:26.7080
223,Aemel Nordin,9,1:41.6990,0:31.0530,0:44.2920,0:26.3540
223,Aemel Nordin,10,PIT,0:29.5640,0:42.8410,0:45.0080
223,Aemel Nordin,11,NC,NC,0:42.9660,0:27.2730
223,Aemel Nordin,12,1:41.3090,0:31.6450,0:43.4330,0:26.2310
223,Aemel Nordin,13,1:38.7480,0:29.4180,0:43.0690,0:26.2610
223,Aemel Nordin,14,PIT,0:29.6070,0:42.6870,0:48.5640
275,Baby Kei,1,1:58.6710,0:36.9760,0:51.9370,0:29.7580
275,Baby Kei,2,1:44.9080,0:32.4300,0:45.2610,0:27.2170
275,Baby Kei,3,1:39.9450,0:29.4980,0:43.4070,0:27.0400
275,Baby Kei,4,1:40.1670,0:29.8210,0:43.8070,0:26.5390
275,Baby Kei,5,1:39.2190,0:29.4540,0:43.0560,0:26.7090
275,Baby Kei,6,1:38.7660,0:29.2760,0:43.0400,0:26.4500
275,Baby Kei,7,1:38.6250,0:29.5960,0:42.5450,0:26.4840
275,Baby Kei,8,PIT,0:31.4210,0:46.3260,0:46.3310
275,Baby Kei,9,4:20.0300,3:07.1630,0:46.1600,0:26.7070
275,Baby Kei,10,1:37.1530,0:29.3350,0:41.8470,0:25.9710
275,Baby Kei,11,1:37.6640,0:28.9150,0:42.5740,0:26.1750
275,Baby Kei,12,1:37.5200,0:29.0280,0:42.5580,0:25.9340
275,Baby Kei,13,1:39.5220,0:29.5550,0:43.6600,0:26.3070
275,Baby Kei,14,1:37.9090,0:29.1290,0:42.7680,0:26.0120
275,Baby Kei,15,1:39.6420,0:29.2170,0:43.6230,0:26.8020
275,Baby Kei,16,1:38.2700,0:29.4560,0:42.4580,0:26.3560
275,Baby Kei,17,1:37.6040,0:28.7580,0:42.6190,0:26.2270
275,Baby Kei,18,PIT,0:31.1520,0:43.6900,0:43.2410
