Car Number,Car,Class,Driver,Fastest Lap,Gap,Laps,Position,Team
117,296 Challenge,CS,Enzo Cheng (AUS),6 1:29 9470,,7,1,Ferrari Sydney
23,296 Challenge,TP,Cameron Campbell (AUS),10 1:30 6240  0:00 ,77,12,2,Ferrari Richmond
1,296 Challenge,TP,Mark Hudders (AUS),5 1:30 6640  0:00 ,17,6,3,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),8 1:31 3720  0:01 ,25,13,4,Ferrari Gold Coast
100,296 Challenge,CS,Aemel Nordin (AUS),6 1:32 0120  0:02 ,65,13,5,Ferrari Adelaide
170,296 Challenge,CS,David Frish (AUS),10 1:32 2940  0:02 ,47,11,6,Ferrari Sydney
105,296 Challenge,CS,Masahiro Taguchi (JPN),5 1:32 6840  0:02 ,37,6,7,Ferrari Brisbane
277,488 Challenge EVO,TP4,Jarrod Ferrari (AUS),4 1:33 8020  0:03 ,55,7,8,Barbagallo Ferrari
212,488 Challenge EVO,TP4,Misho Stephan (AUS),6 1:34 0180  0:04 ,71,11,9,Ferrari Sydney
164,296 Challenge,CS,Michael Walker (NZ),6 1:34 0320  0:04 ,85,13,10,Continental Cars Ferrari
13,296 Challenge,TP,Paul Van Loenhout (AUS),10 1:35 1580  0:05 ,11,10,11,Barbagallo Ferrari
111,296 Challenge,CS,Tony Baildon (AUS),5 1:35 6100  0:05 ,63,12,12,Ferrari Brisbane
275,488 Challenge EVO,TP4,Baby Kei (JPN),8 1:36 6030  0:06 ,56,8,13,Cornes Osaka
