Driver Number,Driver Name,Lap Number,Total Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,Mark Hudders,1,2:13.2610,0:42.9340,0:55.6580,0:34.6690
1,Mark Hudders,2,1:54.5240,0:37.3870,0:47.8610,0:29.2760
1,Mark Hudders,3,1:46.4060,0:30.7310,0:47.5710,0:28.1040
1,Mark Hudders,4,1:37.0400,0:29.1230,0:42.3490,0:25.5680
1,Mark Hudders,5,1:35.0910,0:28.2960,0:40.8120,0:25.9830
1,Mark Hudders,6,1:48.2400,0:29.4240,0:47.8780,0:30.9380
1,Mark Hudders,7,1:46.1250,0:30.8010,0:44.5750,0:30.7490
1,Mark Hudders,8,1:38.5480,0:28.8220,0:44.5730,0:25.1530
1,Mark Hudders,9,1:36.6990,0:29.6010,0:42.2300,0:24.8680
1,Mark Hudders,10,PIT,0:29.6340,0:43.7650,0:49.8270
1,Mark Hudders,11,5:59.3960,4:41.4660,0:48.2390,0:29.6910
1,Mark Hudders,12,1:39.9750,0:32.9730,0:41.5440,0:25.4580
1,Mark Hudders,13,1:34.3690,0:28.5850,0:40.7410,0:25.0430
1,Mark Hudders,14,1:31.7600,0:27.5540,0:39.5930,0:24.6130
1,Mark Hudders,15,1:31.2840,0:26.9640,0:39.6960,0:24.6240
1,Mark Hudders,16,PIT,0:30.5070,0:45.6220,0:54.0100
,7 Jim Pollicina,1,1:50.3250,0:33.5800,0:46.5190,0:30.2260
,7 Jim Pollicina,2,1:41.7880,0:31.2210,0:43.5760,0:26.9910
,7 Jim Pollicina,3,1:38.9570,0:28.7700,0:43.9910,0:26.1960
,7 Jim Pollicina,4,1:38.0990,0:28.7370,0:43.4030,0:25.9590
,7 Jim Pollicina,5,1:34.4860,0:28.0710,0:40.9120,0:25.5030
,7 Jim Pollicina,6,1:37.1610,0:30.6490,0:41.2690,0:25.2430
,7 Jim Pollicina,7,1:33.0990,0:27.7340,0:40.2220,0:25.1430
,7 Jim Pollicina,8,1:34.1750,0:27.6890,0:40.1450,0:26.3410
,7 Jim Pollicina,9,1:32.6880,0:27.6680,0:40.0510,0:24.9690
,7 Jim Pollicina,10,1:33.3550,0:27.8600,0:40.4650,0:25.0300
,7 Jim Pollicina,11,1:33.1580,0:27.8610,0:40.3710,0:24.9260
,7 Jim Pollicina,12,1:32.4910,0:27.4570,0:40.1710,0:24.8630
,7 Jim Pollicina,13,1:32.4940,0:27.1390,0:40.3270,0:25.0280
,7 Jim Pollicina,14,1:32.4700,0:27.3410,0:40.3390,0:24.7900
,7 Jim Pollicina,15,1:32.8230,0:27.4270,0:40.3820,0:25.0140
,7 Jim Pollicina,16,PIT,0:29.2700,0:46.6860,0:51.4900
,7 Jim Pollicina,17,5:51.6390,4:44.1390,0:42.0070,0:25.4930
,7 Jim Pollicina,18,1:33.3930,0:27.8130,0:40.6180,0:24.9620
,7 Jim Pollicina,19,1:33.1110,0:27.2900,0:40.9000,0:24.9210
,7 Jim Pollicina,20,1:36.7970,0:27.4580,0:43.1620,0:26.1770
,7 Jim Pollicina,21,1:34.8010,0:27.6440,0:41.0460,0:26.1110
,7 Jim Pollicina,22,1:33.6570,0:27.9300,0:40.7260,0:25.0010
,7 Jim Pollicina,23,1:35.2130,0:27.7240,0:42.1880,0:25.3010
,7 Jim Pollicina,24,PIT,0:27.5650,0:41.0700,0:49.1560
,13 Paul Van Loenhout,1,2:12.3620,0:42.3550,0:57.4290,0:32.5780
,13 Paul Van Loenhout,2,2:04.7280,0:38.2370,0:55.8950,0:30.5960
,13 Paul Van Loenhout,3,1:58.8190,0:37.9720,0:51.5200,0:29.3270
,13 Paul Van Loenhout,4,1:49.2660,0:33.6650,0:47.3720,0:28.2290
,13 Paul Van Loenhout,5,1:49.5750,0:35.2550,0:44.4240,0:29.8960
,13 Paul Van Loenhout,6,1:45.9320,0:33.1810,0:44.6260,0:28.1250
,13 Paul Van Loenhout,7,1:42.9390,0:31.4200,0:44.3360,0:27.1830
,13 Paul Van Loenhout,8,1:40.5930,0:30.9960,0:42.8140,0:26.7830
,13 Paul Van Loenhout,9,1:44.1790,0:30.7280,0:46.9150,0:26.5360
