Driver Number,Driver Name,Lap Number,Total Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,Mark Hudders,1,1:39.6560,0:30.7560,0:42.5150,0:26.3850
1,Mark Hudders,2,PIT,0:27.6730,0:44.8730,0:49.0240
1,Mark Hudders,3,4:48.4000,3:21.8170,0:54.3130,0:32.2700
1,Mark Hudders,4,1:31.7270,0:27.3130,0:39.8960,0:24.5180
1,Mark Hudders,5,1:30.6640,0:26.9810,0:39.3410,0:24.3420
1,Mark Hudders,6,PIT,0:31.5370,0:49.7400,0:57.4790
,13 Paul Van Loenhout,1,1:59.3660,0:43.6600,0:48.1530,0:27.5530
,13 Paul Van Loenhout,2,1:42.3070,0:33.0530,0:43.1260,0:26.1280
,13 Paul Van Loenhout,3,1:40.3040,0:30.1810,0:43.3350,0:26.7880
,13 Paul Van Loenhout,4,1:38.5190,0:31.0460,0:41.4260,0:26.0470
,13 Paul Van Loenhout,5,1:40.6140,0:31.5660,0:42.8140,0:26.2340
,13 Paul Van Loenhout,6,PIT,0:29.0810,0:42.9990,0:44.1130
,13 Paul Van Loenhout,7,NC,9:59.3860,0:48.9890,0:26.6160
,13 Paul Van Loenhout,8,1:38.0190,0:30.2220,0:41.7390,0:26.0580
,13 Paul Van Loenhout,9,1:36.7380,0:29.2590,0:41.6090,0:25.8700
,13 Paul Van Loenhout,10,1:35.1580,0:28.9280,0:40.8520,0:25.3780
,23 Cameron Campbell,1,1:42.8080,0:30.9840,0:44.8420,0:26.9820
,23 Cameron Campbell,2,1:36.7270,0:30.5480,0:41.4150,0:24.7640
,23 Cameron Campbell,3,1:33.4090,0:27.0760,0:39.8380,0:26.4950
,23 Cameron Campbell,4,PIT,0:26.5010,0:39.1440,0:40.8930
,23 Cameron Campbell,5,4:18.3720,3:07.0390,0:46.2600,0:25.0730
,23 Cameron Campbell,6,1:43.5380,0:26.2650,0:46.2150,0:31.0580
,23 Cameron Campbell,7,PIT,0:26.9610,0:43.7320,1:08.2100
,23 Cameron Campbell,8,7:40.7020,6:32.2730,0:43.1180,0:25.3110
,23 Cameron Campbell,9,1:30.9400,0:27.0790,0:39.4360,0:24.4250
,23 Cameron Campbell,10,1:30.6240,0:26.9930,0:39.0690,0:24.5620
,23 Cameron Campbell,11,1:30.9980,0:26.8520,0:39.4630,0:24.6830
,23 Cameron Campbell,12,PIT,0:30.9720,0:54.1050,0:52.2520
100,Aemel Nordin,1,1:46.3000,0:33.6930,0:45.9360,0:26.6710
100,Aemel Nordin,2,1:43.8450,0:31.2790,0:45.7570,0:26.8090
100,Aemel Nordin,3,1:35.6160,0:29.2160,0:41.0300,0:25.3700
100,Aemel Nordin,4,1:33.6380,0:27.9100,0:40.2610,0:25.4670
100,Aemel Nordin,5,1:33.1130,0:28.0990,0:39.8330,0:25.1810
100,Aemel Nordin,6,1:32.0120,0:27.3540,0:39.6910,0:24.9670
100,Aemel Nordin,7,1:32.9840,0:27.2650,0:40.1810,0:25.5380
100,Aemel Nordin,8,PIT,0:27.7070,0:40.3910,0:45.3430
100,Aemel Nordin,9,9:10.2950,8:00.3080,0:44.1750,0:25.8120
100,Aemel Nordin,10,1:33.3860,0:27.6140,0:40.4560,0:25.3160
100,Aemel Nordin,11,1:33.9390,0:27.8310,0:40.8490,0:25.2590
100,Aemel Nordin,12,1:33.4680,0:27.6600,0:40.5120,0:25.2960
100,Aemel Nordin,13,PIT,0:28.0060,0:50.5830,0:57.5610
105,Masahiro Taguchi,1,1:59.9750,0:38.1620,0:53.5360,0:28.2770
105,Masahiro Taguchi,2,1:45.2520,0:33.5510,0:44.4210,0:27.2800
105,Masahiro Taguchi,3,1:43.9690,0:35.1020,0:43.0710,0:25.7960
105,Masahiro Taguchi,4,1:34.0310,0:28.3610,0:40.2420,0:25.4280
105,Masahiro Taguchi,5,1:32.6840,0:28.0850,0:39.4730,0:25.1260
105,Masahiro Taguchi,6,PIT,0:30.0070,1:01.4800,1:13.1410
111,Tony Baildon,1,1:56.4350,0:39.3370,0:49.2400,0:27.8580
111,Tony Baildon,2,1:42.5170,0:30.4250,0:43.6280,0:28.4640
111,Tony Baildon,3,1:37.2600,0:29.1100,0:42.1340,0:26.0160
111,Tony Baildon,4,1:36.1130,0:28.3780,0:42.2350,0:25.5000
111,Tony Baildon,5,1:35.6100,0:28.1740,0:41.9900,0:25.4460
111,Tony Baildon,6,1:35.7410,0:28.0790,0:42.2240,0:25.4380
111,Tony Baildon,7,1:36.3080,0:28.3670,0:42.0750,0:25.8660
111,Tony Baildon,8,PIT,0:28.6660,0:59.1910,1:17.5230
111,Tony Baildon,9,7:44.3230,6:28.4580,0:47.2820,0:28.5830
111,Tony Baildon,10,1:38.5410,0:28.7170,0:43.8190,0:26.0050
111,Tony Baildon,11,1:35.8240,0:28.2140,0:41.9270,0:25.6830
111,Tony Baildon,12,PIT,0:28.5570,0:42.1930,0:54.1760
117,Enzo Cheng,1,1:48.6330,0:33.0230,0:48.0690,0:27.5410
117,Enzo Cheng,2,1:39.9120,0:29.1290,0:41.3470,0:29.4360
117,Enzo Cheng,3,1:30.7080,0:26.8550,0:39.4700,0:24.3830
117,Enzo Cheng,4,1:39.3160,0:28.5480,0:40.2090,0:30.5590
117,Enzo Cheng,5,1:40.3870,0:26.9000,0:41.2030,0:32.2840
117,Enzo Cheng,6,1:29.9470,0:26.6990,0:38.9810,0:24.2670
117,Enzo Cheng,7,PIT,0:35.4250,0:43.8800,0:43.3010
127,David Trewern,1,1:50.9460,0:36.3920,0:47.4380,0:27.1160
127,David Trewern,2,1:53.2690,0:31.1870,0:50.1720,0:31.9100
127,David Trewern,3,1:36.3200,0:28.7920,0:42.2110,0:25.3170
127,David Trewern,4,1:33.9070,0:28.2860,0:40.8020,0:24.8190
127,David Trewern,5,1:32.6200,0:27.4510,0:40.4680,0:24.7010
127,David Trewern,6,1:38.0740,0:28.9930,0:43.1670,0:25.9140
127,David Trewern,7,1:32.2090,0:27.5250,0:40.1230,0:24.5610
127,David Trewern,8,1:31.3720,0:26.8850,0:39.7380,0:24.7490
127,David Trewern,9,PIT,0:33.3830,0:58.1320,1:00.7860
127,David Trewern,10,7:14.4900,6:02.0050,0:45.9200,0:26.5650
127,David Trewern,11,1:40.6770,0:29.8830,0:44.4150,0:26.3790
127,David Trewern,12,1:40.2980,0:29.5400,0:44.8760,0:25.8820
127,David Trewern,13,PIT,0:29.1430,0:45.5540,0:52.7640
164,Michael Walker,1,2:04.2800,0:45.5360,0:49.9420,0:28.8020
164,Michael Walker,2,1:43.5480,0:32.1510,0:44.2310,0:27.1660
164,Michael Walker,3,1:39.8240,0:30.6650,0:42.4780,0:26.6810
164,Michael Walker,4,1:36.4580,0:29.1210,0:41.5380,0:25.7990
164,Michael Walker,5,1:37.2680,0:30.5820,0:40.8850,0:25.8010
164,Michael Walker,6,1:34.0320,0:28.4130,0:40.3560,0:25.2630
164,Michael Walker,7,1:35.5960,0:28.0860,0:40.5210,0:26.9890
164,Michael Walker,8,PIT,0:28.5140,0:55.6030,1:06.7860
164,Michael Walker,9,7:32.2250,6:24.8660,0:41.8090,0:25.5500
164,Michael Walker,10,1:34.9600,0:29.0770,0:40.4880,0:25.3950
164,Michael Walker,11,1:34.9280,0:28.8660,0:40.5980,0:25.4640
164,Michael Walker,12,1:34.7090,0:28.6350,0:40.6200,0:25.4540
164,Michael Walker,13,PIT,0:27.9760,0:43.9190,1:02.4890
170,David Frish,1,1:55.3410,0:37.2430,0:48.9130,0:29.1850
170,David Frish,2,1:45.6860,0:32.2090,0:46.3760,0:27.1010
170,David Frish,3,1:38.2630,0:29.0050,0:43.6110,0:25.6470
170,David Frish,4,1:34.4970,0:28.2960,0:40.9480,0:25.2530
170,David Frish,5,1:32.3270,0:27.4550,0:40.0570,0:24.8150
170,David Frish,6,1:32.9030,0:27.7700,0:40.2660,0:24.8670
170,David Frish,7,PIT,0:30.8980,0:41.0720,0:45.1980
170,David Frish,8,NC,9:41.4580,0:43.5990,0:25.5650
170,David Frish,9,1:33.0360,0:27.8480,0:40.1540,0:25.0340
170,David Frish,10,1:32.2940,0:27.8070,0:39.7900,0:24.6970
170,David Frish,11,PIT,0:34.2590,0:50.4390,0:55.4310
212,Misho Stephan,1,1:44.5630,0:33.9310,0:44.1400,0:26.4920
212,Misho Stephan,2,1:37.6110,0:28.8800,0:42.7460,0:25.9850
212,Misho Stephan,3,1:43.5670,0:28.5820,0:49.1680,0:25.8170
212,Misho Stephan,4,1:34.0680,0:28.2190,0:40.8140,0:25.0350
212,Misho Stephan,5,1:34.4380,0:27.7530,0:41.2820,0:25.4030
212,Misho Stephan,6,1:34.0180,0:27.4160,0:41.1460,0:25.4560
212,Misho Stephan,7,1:39.3670,0:29.7390,0:44.0320,0:25.5960
212,Misho Stephan,8,PIT,0:27.8170,0:44.0070,0:57.4940
212,Misho Stephan,9,NC,NC,0:43.8810,0:26.0970
212,Misho Stephan,10,1:35.2970,0:28.1550,0:41.5840,0:25.5580
212,Misho Stephan,11,PIT,0:28.0710,0:44.3480,0:54.1450
275,Baby Kei,1,2:01.8390,0:38.9560,0:51.8370,0:31.0460
275,Baby Kei,2,1:50.1060,0:35.2860,0:47.3280,0:27.4920
275,Baby Kei,3,PIT,0:30.6890,0:45.0620,0:42.1220
275,Baby Kei,4,PIT,5:25.7130,1:01.0910,1:15.7590
275,Baby Kei,5,7:41.0320,6:28.5730,0:45.5410,0:26.9180
275,Baby Kei,6,1:48.0230,0:34.9040,0:47.0080,0:26.1110
275,Baby Kei,7,1:37.1130,0:28.8670,0:42.3910,0:25.8550
275,Baby Kei,8,1:36.6030,0:28.4880,0:42.3320,0:25.7830
277,Jarrod Ferrari,1,1:50.2020,0:35.7200,0:46.9340,0:27.5480
277,Jarrod Ferrari,2,1:38.8420,0:29.8580,0:43.1640,0:25.8200
277,Jarrod Ferrari,3,1:39.6440,0:28.2940,0:43.1350,0:28.2150
277,Jarrod Ferrari,4,1:33.8020,0:28.0310,0:40.3720,0:25.3990
277,Jarrod Ferrari,5,1:39.1070,0:30.0640,0:43.5520,0:25.4910
277,Jarrod Ferrari,6,1:43.9670,0:27.6590,0:48.6600,0:27.6480
277,Jarrod Ferrari,7,1:42.3610,0:27.8600,0:44.0100,0:30.4910
